seed,partition_strategy,representation_strategy,redundancy_strategy,algorithm,fold,cfg_idx,config,n_features,feature_prefix,scaler,n_train,n_val,n_test,train_pos,val_pos,test_pos,train_neg,val_neg,test_neg,accuracy_val,precision_val,recall_val,f1_val,mcc_val,accuracy_test,precision_test,recall_test,f1_test,mcc_test
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_00,0,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,719,75,216,2299,261,623,0.9464285714285714,0.9672131147540983,0.7866666666666666,0.8676470588235294,0.841509870951219,0.9427890345649583,0.9772727272727273,0.7962962962962963,0.8775510204081632,0.8482357684066533
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_00,1,"{""bootstrap"": true, ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,719,75,216,2299,261,623,0.9345238095238095,0.9649122807017544,0.7333333333333333,0.8333333333333334,0.80510184747075,0.9380214541120382,0.9767441860465116,0.7777777777777778,0.865979381443299,0.835409316460016
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_00,2,"{""bootstrap"": false, ""max_depth"": 30, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,719,75,216,2299,261,623,0.9583333333333334,0.9841269841269841,0.8266666666666667,0.8985507246376812,0.8778335498068263,0.9523241954707986,0.9782608695652174,0.8333333333333334,0.9,0.873777878455903
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_00,3,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,719,75,216,2299,261,623,0.9404761904761905,0.9508196721311475,0.7733333333333333,0.8529411764705882,0.8229678474323253,0.9404052443384983,0.9770114942528736,0.7870370370370371,0.8717948717948718,0.8418276265756168
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_00,4,"{""bootstrap"": false, ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,719,75,216,2299,261,623,0.9494047619047619,0.9833333333333333,0.7866666666666666,0.8740740740740741,0.8511205797792594,0.9427890345649583,0.9827586206896551,0.7916666666666666,0.8769230769230769,0.8485512845797002
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_00,5,"{""bootstrap"": true, ""max_depth"": 30, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,719,75,216,2299,261,623,0.9404761904761905,0.9661016949152542,0.76,0.8507462686567164,0.8233746865176579,0.9404052443384983,0.9770114942528736,0.7870370370370371,0.8717948717948718,0.8418276265756168
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_01,0,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,724,91,195,2294,245,644,0.9434523809523809,0.9736842105263158,0.8131868131868132,0.8862275449101796,0.8551038314845553,0.9523241954707986,1.0,0.7948717948717948,0.8857142857142857,0.8650942516151277
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_01,1,"{""bootstrap"": true, ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,724,91,195,2294,245,644,0.9404761904761905,0.9733333333333334,0.8021978021978022,0.8795180722891566,0.8474073872880237,0.9415971394517283,0.9932432432432432,0.7538461538461538,0.8571428571428571,0.833638159126024
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_01,2,"{""bootstrap"": false, ""max_depth"": 30, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,724,91,195,2294,245,644,0.9434523809523809,0.9736842105263158,0.8131868131868132,0.8862275449101796,0.8551038314845553,0.9535160905840286,0.9936708860759493,0.8051282051282052,0.8895184135977338,0.8681300282204306
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_01,3,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,724,91,195,2294,245,644,0.9404761904761905,0.9733333333333334,0.8021978021978022,0.8795180722891566,0.8474073872880237,0.9511323003575686,0.9935897435897436,0.7948717948717948,0.8831908831908832,0.8612623133814864
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_01,4,"{""bootstrap"": false, ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,724,91,195,2294,245,644,0.9404761904761905,0.9733333333333334,0.8021978021978022,0.8795180722891566,0.8474073872880237,0.9487485101311085,1.0,0.7794871794871795,0.8760806916426513,0.8548089358005786
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_01,5,"{""bootstrap"": true, ""max_depth"": 30, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,724,91,195,2294,245,644,0.9404761904761905,0.9733333333333334,0.8021978021978022,0.8795180722891566,0.8474073872880237,0.9511323003575686,0.9935897435897436,0.7948717948717948,0.8831908831908832,0.8612623133814864
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_02,0,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,723,87,200,2295,249,639,0.9285714285714286,0.9565217391304348,0.7586206896551724,0.8461538461538461,0.8095638566279577,0.9535160905840286,0.9938650306748467,0.81,0.8925619834710744,0.8706496174844356
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_02,1,"{""bootstrap"": true, ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,723,87,200,2295,249,639,0.9077380952380952,0.9516129032258065,0.6781609195402298,0.7919463087248322,0.752204461640588,0.9415971394517283,1.0,0.755,0.8603988603988604,0.8373936933572038
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_02,2,"{""bootstrap"": false, ""max_depth"": 30, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,723,87,200,2295,249,639,0.9315476190476191,0.9571428571428572,0.7701149425287356,0.8535031847133758,0.8176678266791836,0.9594755661501788,0.9882352941176471,0.84,0.9081081081081082,0.8871273400152077
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_02,3,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,723,87,200,2295,249,639,0.9255952380952381,0.9558823529411765,0.7471264367816092,0.8387096774193549,0.8014400024763781,0.9487485101311085,0.9875776397515528,0.795,0.8808864265927978,0.8568239394403792
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_02,4,"{""bootstrap"": false, ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,723,87,200,2295,249,639,0.9255952380952381,0.9558823529411765,0.7471264367816092,0.8387096774193549,0.8014400024763781,0.9499404052443385,0.99375,0.795,0.8833333333333333,0.8605615395628982
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_02,5,"{""bootstrap"": true, ""max_depth"": 30, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3018,336,839,723,87,200,2295,249,639,0.9226190476190477,0.9552238805970149,0.735632183908046,0.8311688311688312,0.793294984074561,0.9487485101311085,0.9937106918238994,0.79,0.8802228412256268,0.8571924430787862
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_03,0,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3019,336,838,740,72,198,2279,264,640,0.9583333333333334,1.0,0.8055555555555556,0.8923076923076924,0.8746359297400983,0.9451073985680191,0.9810126582278481,0.7828282828282829,0.8707865168539326,0.8450798758524485
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_03,1,"{""bootstrap"": true, ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3019,336,838,740,72,198,2279,264,640,0.9553571428571429,1.0,0.7916666666666666,0.8837209302325582,0.8655079102193866,0.9379474940334129,0.9802631578947368,0.7525252525252525,0.8514285714285714,0.8244154380893618
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_03,2,"{""bootstrap"": false, ""max_depth"": 30, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100, ""n_jobs"": 8}",320,p_,normalizer_l2,3019,336,838,740,72,198,2279,264,640,0.9613095238095238,1.0,0.8194444444444444,0.9007633587786259,0.8837345545672759,0.9474940334128878,0.98125,0.7929292929292929,0.8770949720670391,0.8519364531532999
13,random_kfold,esm2_t6,baseline,RandomForestClassifier,fold_03,3,"{""bootstrap"": true, ""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300, ""n_jobs"": 8}",320,p_,normalizer_l2,3019,336,838,740,72,198,2279,264,640,0.9583333333333334,1.0,0.8055555555555556,0.8923076923076924,0.8746359297400983,0.9427207637231504,0.9807692307692307,0.7727272727272727,0.864406779661017,0.838208008786719
