seed,partition_strategy,representation_strategy,redundancy_strategy,algorithm,fold,cfg_idx,config,join_col,descriptor_file,n_features,feature_prefix,scaler,n_train,n_val,n_test,train_pos,val_pos,test_pos,train_neg,val_neg,test_neg,accuracy_val,precision_val,recall_val,f1_val,mcc_val,accuracy_test,precision_test,recall_test,f1_test,mcc_test,tn_val,fp_val,fn_val,tp_val,tn_test,fp_test,fn_test,tp_test
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_00,0,"{""C"": 0.1, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1521,154,435,7477,846,2065,0.846,0.0,0.0,0.0,0.0,0.826,0.0,0.0,0.0,0.0,846,0,154,0,2065,0,435,0
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_00,1,"{""C"": 1.0, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1521,154,435,7477,846,2065,0.86,0.85,0.11038961038961038,0.19540229885057472,0.2754645125571585,0.8352,0.7674418604651163,0.07586206896551724,0.13807531380753138,0.20708334870843736,843,3,137,17,2055,10,402,33
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_00,2,"{""C"": 0.1, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""liblinear""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1521,154,435,7477,846,2065,0.846,0.0,0.0,0.0,0.0,0.826,0.0,0.0,0.0,0.0,846,0,154,0,2065,0,435,0
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_00,3,"{""C"": 1.0, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""liblinear""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1521,154,435,7477,846,2065,0.861,0.8947368421052632,0.11038961038961038,0.19653179190751446,0.28560164239532443,0.8352,0.7555555555555555,0.07816091954022988,0.14166666666666666,0.207685927193563,844,2,137,17,2054,11,401,34
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_01,0,"{""C"": 0.1, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1502,171,437,7496,829,2063,0.829,0.0,0.0,0.0,0.0,0.8256,1.0,0.002288329519450801,0.0045662100456621,0.04346360723078799,829,0,171,0,2063,0,436,1
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_01,1,"{""C"": 1.0, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1502,171,437,7496,829,2063,0.84,0.8666666666666667,0.07602339181286549,0.13978494623655913,0.22800973411668027,0.8316,0.8076923076923077,0.04805491990846682,0.09071274298056156,0.1708308570547055,827,2,158,13,2058,5,416,21
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_01,2,"{""C"": 0.1, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""liblinear""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1502,171,437,7496,829,2063,0.83,1.0,0.005847953216374269,0.011627906976744186,0.06966208453955901,0.8256,1.0,0.002288329519450801,0.0045662100456621,0.04346360723078799,829,0,170,1,2063,0,436,1
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_01,3,"{""C"": 1.0, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""liblinear""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1502,171,437,7496,829,2063,0.839,0.8125,0.07602339181286549,0.13903743315508021,0.21726200462533907,0.8316,0.8076923076923077,0.04805491990846682,0.09071274298056156,0.1708308570547055,826,3,158,13,2058,5,416,21
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_02,0,"{""C"": 0.1, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1531,165,414,7467,835,2086,0.837,1.0,0.012121212121212121,0.023952095808383235,0.10070499049915546,0.8344,0.5,0.0024154589371980675,0.004807692307692308,0.025454685504316486,835,0,163,2,2085,1,413,1
113,random_kfold,ankh2,distance_aware,LogisticRegression,fold_02,1,"{""C"": 1.0, ""max_iter"": 500, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",sequence,/home/david/Downloads/nicole_toxica/numerical_representation/data_toxic_processed_ankh2_ext1.csv,1536,p_,normalizer_l2,8998,1000,2500,1531,165,414,7467,835,2086,0.846,0.7894736842105263,0.09090909090909091,0.16304347826086957,0.23413763567999765,0.8416,0.6730769230769231,0.08454106280193237,0.15021459227467812,0.19897336703050172,831,4,150,15,2069,17,379,35
