subset,split_type,mean_mcc,sd_mcc,se_mcc,ci95_mcc,n_evaluations,n_seeds,n_representations,n_algorithms,n_evaluation_units
single-source,random,0.940985189630931,0.004186482542261562,0.0007643436416660775,0.0015632582727111185,270.0,30.0,3.0,3.0,270.0
multi-source,random,0.7768734089000359,0.005155725035006274,0.0009413023006556827,0.001925179367508712,270.0,30.0,3.0,3.0,270.0
high-support,random,0.7635788753345419,0.005787506946882173,0.0010566493688417397,0.0021610906104959377,270.0,30.0,3.0,3.0,270.0
full-consensus,random,0.8761762421396891,0.0025209340928900297,0.000460257489553231,0.000941332260647851,270.0,30.0,3.0,3.0,270.0
single-source,stratified,0.9401110288279938,0.004205464246463135,0.0007678092108564416,0.0015703461575461131,270.0,30.0,3.0,3.0,270.0
multi-source,stratified,0.7780598850921184,0.0036194423937763558,0.0006608167482206021,0.0013515220014785184,270.0,30.0,3.0,3.0,270.0
high-support,stratified,0.7616713550427846,0.005426940089944844,0.000990819168497302,0.0020264527334039593,270.0,30.0,3.0,3.0,270.0
full-consensus,stratified,0.8762639407717786,0.0030294977349052234,0.0005531080824394656,0.0011312330455083737,270.0,30.0,3.0,3.0,270.0
single-source,distance-aware,0.8211058555049429,0.005777572641842379,0.0010548356211872623,0.002157381080029652,270.0,30.0,3.0,3.0,270.0
multi-source,distance-aware,0.6679615076884191,0.005946980787754451,0.001085765175500985,0.002220639121330031,270.0,30.0,3.0,3.0,270.0
high-support,distance-aware,0.6442064486731444,0.005874271311665479,0.0010724903021015477,0.002193488956757943,270.0,30.0,3.0,3.0,270.0
full-consensus,distance-aware,0.7198834934995789,0.006116575162690353,0.0011167287304271127,0.002283966701690751,270.0,30.0,3.0,3.0,270.0
