subset,split_type,mean_mcc,sd_mcc,se_mcc,ci95_mcc,n_evaluations,n_seeds,n_representations,n_algorithms,n_configurations
single-source,random,0.940985189630931,0.034725742412521216,0.002113341382827971,0.004160792953296029,270.0,30.0,3.0,3.0,270.0
multi-source,random,0.7768734089000359,0.05000669074624406,0.0030433102831003023,0.00599173615938596,270.0,30.0,3.0,3.0,270.0
high-support,random,0.7635788753345422,0.0436995237437993,0.0026594683229679427,0.0052360196736940395,270.0,30.0,3.0,3.0,270.0
full-consensus,random,0.8822634169609181,0.04044278299832768,0.0017403802780755952,0.0034187594417501603,540.0,30.0,3.0,3.0,270.0
single-source,stratified,0.9401110288279939,0.0354449666459421,0.0021571119757778576,0.004246969458515348,270.0,30.0,3.0,3.0,270.0
multi-source,stratified,0.7780598850921184,0.04924282548162776,0.002996822923508636,0.005900210824303791,270.0,30.0,3.0,3.0,270.0
high-support,stratified,0.7616713550427847,0.04263815878546849,0.0025948757085875744,0.005108848315137115,270.0,30.0,3.0,3.0,270.0
full-consensus,stratified,0.8821779961401529,0.04089655739683439,0.0017599076190572818,0.003457118461439371,540.0,30.0,3.0,3.0,270.0
single-source,distance-aware,0.8211058555049427,0.04360250249724305,0.0026535637979350395,0.00522439471506261,270.0,30.0,3.0,3.0,270.0
multi-source,distance-aware,0.6679615076884191,0.06946644781000978,0.004227593383921967,0.008323378751844229,270.0,30.0,3.0,3.0,270.0
high-support,distance-aware,0.6442064486731444,0.084332634483895,0.005132320693407482,0.010104625759331723,270.0,30.0,3.0,3.0,270.0
full-consensus,distance-aware,0.7238710065263221,0.05432272058670598,0.0023376776905887895,0.004592075523463266,540.0,30.0,3.0,3.0,270.0
