percentile,threshold,n_original,n_reduced,removed,kept_fraction,n_0,n_1
30.0,0.37145537524542,4193,24,4169,0.005723825423324589,22,2
40.0,0.3985262434248679,4193,30,4163,0.007154781779155735,28,2
50.0,0.423683931099484,4193,59,4134,0.014071070832339614,55,4
60.0,0.4483996005280885,4193,95,4098,0.022656808967326497,90,5
70.0,0.475026762600973,4193,151,4042,0.03601240162175054,141,10
80.0,0.5059860743138136,4193,261,3932,0.0622466014786549,247,14
90.0,0.5505488761808732,4193,453,3740,0.1080372048652516,433,20
95.0,0.5930436503929984,4193,708,3485,0.16885284998807537,678,30
97.0,0.6282800049409083,4193,971,3222,0.23157643691867397,927,44
98.0,0.6615326777364363,4193,1241,2952,0.2959694729310756,1183,58
99.0,0.7552820443392014,4193,1935,2258,0.46148342475554494,1848,87
99.5,0.9065770649867416,4193,2926,1267,0.6978297161936561,2735,191
99.9,0.9871519866674376,4193,3652,541,0.8709754352492249,3149,503
