percentile,threshold,n_original,n_reduced,removed,kept_fraction,n_0,n_1
30.0,0.997627331952514,4193,63,4130,0.015025041736227046,59,4
40.0,0.9979361526080684,4193,105,4088,0.025041736227045076,100,5
50.0,0.998186090519905,4193,145,4048,0.034581445265919386,134,11
60.0,0.9984055288002552,4193,249,3944,0.059384688766992606,232,17
70.0,0.9986116585356652,4193,386,3807,0.09205819222513713,357,29
80.0,0.9988202658332392,4193,602,3591,0.14357262103505844,546,56
90.0,0.9990622628601176,4193,1069,3124,0.25494872406391605,936,133
95.0,0.9992262291658244,4193,1549,2644,0.3694252325304078,1307,242
97.0,0.9993170798589336,4193,1881,2312,0.44860481755306464,1567,314
98.0,0.9993773595614384,4193,2134,2059,0.5089434772239446,1768,366
99.0,0.999461016976006,4193,2518,1675,0.6005246839971381,2073,445
99.5,0.9995278787433431,4193,2833,1360,0.6756498926782734,2333,500
99.9,0.999647011135848,4193,3411,782,0.8134986882900072,2814,597
