percentile,threshold,metric,standardize,n_jobs,run_dir,reduced_file,reduced_labeled_file,mapping_file,report_file,n_original,n_reduced,removed,kept_fraction,n_0,n_1
30.0,27.184555053710938,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p30_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p30_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p30_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p30_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p30_0/report.json,4193,978,3215,0.233245886000477,907,71
40.0,25.41653060913086,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p40_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p40_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p40_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p40_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p40_0/report.json,4193,1312,2881,0.31290245647507753,1189,123
50.0,23.853721618652344,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p50_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p50_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p50_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p50_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p50_0/report.json,4193,1372,2821,0.327212020033389,1239,133
60.0,22.472204208374023,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p60_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p60_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p60_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p60_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p60_0/report.json,4193,1782,2411,0.4249940376818507,1598,184
70.0,21.118711471557617,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p70_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p70_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p70_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p70_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p70_0/report.json,4193,2012,2181,0.47984736465537803,1803,209
80.0,19.46792221069336,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p80_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p80_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p80_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p80_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p80_0/report.json,4193,1973,2220,0.47054614834247555,1761,212
90.0,17.492855072021484,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p90_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p90_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p90_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p90_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p90_0/report.json,4193,2620,1573,0.6248509420462676,2273,347
95.0,16.18641471862793,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p95_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p95_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p95_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p95_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p95_0/report.json,4193,2955,1238,0.70474600524684,2530,425
97.0,15.459625244140623,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p97_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p97_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p97_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p97_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p97_0/report.json,4193,3079,1114,0.7343191032673504,2632,447
98.0,14.966629981994627,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p98_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p98_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p98_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p98_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p98_0/report.json,4193,3138,1055,0.74839017409969,2680,458
99.0,14.142135620117188,euclidean,False,8,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p99_0,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p99_0/data_nr.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p99_0/data_nr_labeled.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p99_0/map.csv,../../reduced_descriptor/antioxidant_proteins/onehot_descriptor_reduction/p99_0/report.json,4193,3186,1007,0.7598378249463391,2710,476
