percentile,threshold,n_original,n_reduced,removed,kept_fraction,n_0,n_1
30.0,0.2510825535291153,4193,16,4177,0.0038158836155497257,14,2
40.0,0.279113293417899,4193,22,4171,0.005246839971380873,20,2
50.0,0.3063784222684531,4193,30,4163,0.007154781779155735,28,2
60.0,0.3349903549715183,4193,37,4156,0.00882423086095874,34,3
70.0,0.3679095027725493,4193,65,4128,0.01550202718817076,60,5
80.0,0.4095997154381691,4193,111,4082,0.026472692582876222,104,7
90.0,0.4747041672643272,4193,224,3969,0.05342237061769616,207,17
95.0,0.5337000293661097,4193,469,3724,0.11185308848080133,446,23
97.0,0.5756342792676371,4193,685,3508,0.16336751729072263,648,37
98.0,0.6120366791835313,4193,914,3279,0.21798235153827808,869,45
99.0,0.7069427632521994,4193,1772,2421,0.4226091104221321,1675,97
99.5,0.8887553920724616,4193,3065,1128,0.7309802051037443,2846,219
99.9,0.980985968578734,4193,3678,515,0.8771762461244932,3160,518
